Artist;Title;Year;Orchestra;Conductor;Genre;Format;Label;Catalog Number;Reissue;Mode;DBX
Springsteen, Bruce;Born To Run;1975;;;Rock;LP;Columbia;PC 33795;;S;
Steely Dan;Katy Lied;1975;;;Rock;LP;ABC Records;ABCD-846;;S;
Supertramp;Crisis? What Crisis?;1975;;;Rock;LP;A&M Records;SP-4560;;S;
Szabo, Gabor;Macho;1975;;;Jazz;LP;Salvation;SAL 704 S1;;S;
Towner, Ralph;Solstice;1975;;;Jazz;LP;ECM Records;ECM 1060;;S;
Turrentine, Stanley;Stanley Turrentine;1975;;;Jazz;LP;Blue Note;BN-LA394-H2;;S;
Wakeman, Rick;The Myths And Legends Of King Arthur And The Knights Of The Round Table;1975;;;Rock;LP;A&M Records;QU-54515;;S;
Who, The;The Who By Numbers;1975;;;Rock;Cass;MCA Records;MCAC-2161;;S;
Wings;Venus And Mars;1975;;;Rock;LP;Capitol Records;SMAS-11419;;S;
Mussorgsky, Modest;Pictures At An Exhibition, Night On Bald Mountain;1976;Saint Louis Symphony Orchestra;Slatkin, Leonard;Symphonic;LP;Turnabout;QTV-S 34633;;S;Y
Abercrombie, John;Timeless;1976;;;Jazz;LP;ECM Records;ECM 1047 ST;Y;S;
Ambrosia;Somewhere I've Never Travelled;1976;;;Rock;LP;20th Century Records;T-510;;S;
Benson, George;Good King Bad;1976;;;Jazz;LP;CTI Records;CTI 6062;;S;
Benson, George;Benson & Farrell;1976;;;Jazz;LP;CTI Records;CTI 6069;;S;
Benson, George;Breezin';1976;;;Jazz;LP;Warner Bros. Records;K56199;;S;
Blood, Sweat And Tears;More Than Ever;1976;;;Jazz;LP;Columbia;PC 34233;;S;
Burton, Gary;Turn Of The Century;1976;;;Jazz;LP;Atlantic;SD 2-321;;S;
Chicago;Chicago X;1976;;;Rock;Cass;Columbia;PCT 34200;Y;S;
Clarke, Stanley;School Days;1976;;;Jazz;LP;Nemperor Records;NE 439;;S;
Conti, Bill;Rocky - Original Motion Picture Score;1976;;;Jazz;LP;United Artists Records;UA-LA693-G;;S;
Coryell, Larry;The Lion And The Ram;1976;;;Jazz;LP;Arista;AL 4108;;S;
Crawford, Hank;Hank Crawford's Back;1976;;;Jazz;LP;Kudu;SUPER KUDU 33;;S;
Crusaders, The;Those Southern Knights;1976;;;Jazz;LP;ABC Blue Thumb;BTSD-6024;;S;
Eagles;Their Greatest Hits 1971-1975;1976;;;Rock;LP;Asylum Records;6E-105;;S;
Hampton, Lionel;Ring Dem Vibes;1976;;;Jazz;LP;Blue Star;80.706;;S;
Herman, Woody  And The Thundering Herd;King Cobra;1976;;;Jazz;LP;Fantasy;F-9499;;S;
Herman, Woody and the Herd;Aspects;1976;;;Jazz;LP;Arista;AL 4077;;S;
James, Bob;Three;1976;;;Jazz;LP;CTI Records;CTI 6063;;S;
Joel, Billy;Turnstiles;1976;;;Rock;LP;Columbia;PC 33848;;S;
Kansas;Leftoverture;1976;;;Rock;LP;Kirshner;JZ 34224;;S;
L.A. Express, The;Shadow Play;1976;;;Jazz;LP;Caribou Records;PZ 34355;;S;
L.A. Express, The;L.A. Express;1976;;;Jazz;LP;Caribou Records;PZ 33940;;S;
Laws, Hubert;Then There Was Light (Volume 1);1976;;;Jazz;LP;CTI Records;CTI 6065;;S;
Ritenour, Lee;First Course;1976;;;Jazz;LP;Epic;PE 33947;;S;
Steely Dan;The Royal Scam;1976;;;Rock;LP;ABC Records;ABCD-931;;S;
Szabo, Gabor;Nightflight;1976;;;Jazz;LP;Mercury;SRM-1-1091;;S;
Taylor, James;Greatest Hits;1976;;;Rock;CD;Warner Bros. Records;W2 3113;Y;S;
Weather Report;Black Market;1976;;;Jazz;LP;Columbia;PC 34099;Y;S;
Wings;Wings At The Speed Of Sound;1976;;;Rock;Cass;Capitol Records;4XW 11525;;S;
Schifrin, Lalo;Black Widow;1976;;;Jazz;LP;CTI Records;CTI 5000;;S;
Browne, Jackson;Running On Empty;1977;;;Rock;LP;Asylum Records;6E-113;;S;
Byrd, Donald;Young Byrd;1977;;;Jazz;LP;Milestone;M-47044;;M;
Chicago;Chicago XI;1977;;;Rock;Cass;Columbia;JCT 34860;Y;S;
Coryell, Larry;Two For The Road;1977;;;Jazz;LP;Arista;AB 4156;;S;
Crusaders, The;Free As The Wind;1977;;;Jazz;LP;ABC Blue Thumb;BT-6029;;S;
CTI All-Stars;CTI Summer Jazz At The Hollywood Bowl Live One;1977;;;Jazz;LP;CTI Records;CTI 7076;;S;
CTI All-Stars;CTI Summer Jazz At The Hollywood Bowl Live Two;1977;;;Jazz;LP;CTI Records;CTI 7077;;S;
CTI All-Stars;CTI Summer Jazz At The Hollywood Bowl Live Three;1977;;;Jazz;LP;CTI Records;CTI 7078;;S;
Davis, Miles-Dameron, Tadd  Quintet, ;In Paris Festival International De Jazz - May, 1949;1977;;;Jazz;LP;Columbia;JC 34804;Y;M;
Deodato, Eumir;2001;1977;;;Jazz;LP;CTI Records;CTI 7081;Y;S;
Diamond, Neil;Love At The Greek: Recorded Live At The Greek Theatre;1977;;;Rock;LP;Columbia;KC2 34404;;S;
Eath, Wind & Fire;All 'N All;1977;;;Jazz;LP;Columbia;JC 34905;;S;
Ferguson, Maynard;New Vintage;1977;;;Jazz;LP;Columbia;JC 34971;;S;
Ferguson, Maynard;Conquistador;1977;;;Jazz;LP;Columbia;PC 34457;;S;
Fogelberg, Dan;Nether Lands;1977;;;Rock;LP;Epic;PE 34185;;S;
Gale, Eric;Ginseng Woman;1977;;;Jazz;LP;Columbia;PC 34421;;S;
James, Bob;Heads;1977;;;Jazz;LP;Tappan Zee Records;JC 34896;;S;
Laws, Hubert;The San Francisco Concert;1977;;;Jazz;LP;CTI Records;CTI 7071;;S;
Mangione, Chuck;Feels So Good;1977;;;Jazz;LP;A&M Records;SP-4658;;S;
